COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,Disaster Risk Reduction,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK
Guinea,GIN,0,4.2,0,0,0.9,1.2,5.7,0,4,2.7,8.9,3.6,2.7,6,2.7,6.1,5.7,0.1,6.3,5,3.9,5.1,no estimate,7.6,7.6,9.3,7.6,9.9,8.9,8.4,4.8
Papua New Guinea,PNG,6.7,3.8,4.3,0,1.8,3.7,2.4,0,1.7,2.8,7.1,8.2,3.2,6.4,3.3,4.6,4.4,1,2.3,3.2,3.3,5,6.7,7,6.8,8.3,9.6,9.2,9,8.1,4.8
Madagascar,MDG,0,5.7,0,10,4.3,5.6,1.3,0,0.9,3.6,7,4.8,1.7,5.1,0,3.5,6.2,0.5,6.8,4.7,2.7,4,3.9,7.2,5.6,8.2,9.7,9.1,9,7.7,4.8
Angola,AGO,0,3.6,0,0,4.4,1.8,7,0,4.9,3.5,6.5,4.4,0.3,4.4,3.9,7.1,6.7,2.1,5.8,5.7,4.9,4.7,5.3,7.6,6.4,6.9,7.8,6.5,7.1,6.8,4.8
Lebanon,LBN,5.9,2.9,8.6,0,1.7,4.7,4.4,0,3.1,3.9,2.8,5.5,5.5,4.2,10,0.3,0.8,0,1.7,0.7,7.7,6.3,4.6,6.5,5.6,2.9,2.6,4.2,3.3,4.5,4.8
Senegal,SEN,0,5.7,0,0,5.8,2.8,5.8,0,4,3.4,6.8,5.5,4.2,5.8,4.7,4,3.7,2.2,5.5,3.9,4.3,5.1,3.6,5.9,4.8,6.7,6.7,7.8,7.1,6.1,4.7
Timor-Leste,TLS,6,3.4,9.1,0,0.4,4.9,0.8,0,0.5,3,5.2,1.7,6.7,4.7,1.5,9.5,7.1,0,7,7,4.8,4.8,6.3,7.3,6.8,7.7,6.3,9.7,7.9,7.4,4.7
Turkey,TUR,9.9,7.2,7.8,0,1.1,6.7,7.9,0,5.5,6.1,2.9,4.3,1,2.8,8.6,0.2,1.1,0,1.2,0.6,6,4.6,2.8,4.6,3.7,4.1,2.7,4.1,3.6,3.7,4.7
Egypt,EGY,6,8.1,8.3,0,1.1,5.7,7.1,7,7,6.4,2.5,4.6,0.5,2.6,6,0.2,1.6,0,2.7,1.2,4,3.3,4.2,6.8,5.5,3.7,3.2,4.5,3.8,4.7,4.6
Algeria,DZA,5.2,5.8,0,0.8,2.6,3.2,7.7,8,8,6.2,3.6,5.7,0.1,3.2,5.2,1.5,1.4,0,0.6,0.9,3.4,3.3,3.5,6.3,4.9,4.7,4.5,5.6,4.9,4.9,4.6
